mjd,flux,err,trend1,trend2,zp,sector
58325.513732910156,227.02563155292052,3.224084511871038,219.61363896730833,219.61363896730833,20.44,1.0
58325.534606933594,229.12444305953403,2.5723515531197774,218.73367114203774,218.73367114203774,20.44,1.0
58325.555419921875,223.8919447106685,3.437955189313436,217.5053268798088,217.5053268798088,20.44,1.0
58325.576232910156,207.07202823718575,3.777665286719706,216.6301021523376,216.6301021523376,20.44,1.0
58325.597106933594,214.14605561518906,3.7491681309322233,218.34138335927582,218.34138335927582,20.44,1.0
58325.617919921875,203.67338088895843,4.2594921182305345,220.42740841484223,220.42740841484223,20.44,1.0
58325.638732910156,211.47723100190723,3.616475272487794,222.9435805183511,222.9435805183511,20.44,1.0
58325.659606933594,239.00460000148792,3.3579775364748583,228.38275963256473,228.38275963256473,20.44,1.0
58325.680419921875,243.72661844849898,3.044659359197384,235.15834445152558,235.15834445152558,20.44,1.0
58325.701232910156,241.5051494352302,3.4695916873074237,244.53140521650084,244.53140521650084,20.44,1.0
58325.722106933594,245.14628203668138,3.9218542641887133,253.68028329413414,253.68028329413414,20.44,1.0
58325.742919921875,261.57514934791493,3.501010753523193,256.7280376507539,256.7280376507539,20.44,1.0
58325.763732910156,269.28480624378545,3.5144806192138685,254.15654011185532,254.15654011185532,20.44,1.0
58325.784606933594,275.51937754534,3.3957458190502496,252.8533625095124,252.8533625095124,20.44,1.0
58325.805419921875,260.3388804978265,2.8048603338590596,250.998139533131,250.998139533131,20.44,1.0
58325.826232910156,225.72613567620908,2.9877145125262,247.2145719427832,247.2145719427832,20.44,1.0
58325.847106933594,232.3829062188296,3.2197457211052423,239.25688945535197,239.25688945535197,20.44,1.0
58325.867919921875,232.1597212020116,3.048525427201523,230.02800663953872,230.02800663953872,20.44,1.0
58325.888732910156,235.09017621548048,3.510877727880213,224.93289135495078,224.93289135495078,20.44,1.0
58325.909606933594,213.58102883176656,3.6055273072275695,224.328191648851,224.328191648851,20.44,1.0
58325.930419921875,210.91719783464737,3.159954448771797,221.07514577949274,221.07514577949274,20.44,1.0
58325.951232910156,224.6730735057108,2.6980594470155537,219.77217463707137,219.77217463707137,20.44,1.0
58325.972106933594,221.49323773351085,3.2573742901259317,218.37942960557123,218.37942960557123,20.44,1.0
